title,year,imdb_score,imdb_votes
This Little Love Of Mine,2021,5.4,3393
Paskal,2018,6.5,3384
Out of my league,2020,6.2,3370
Destiny,1997,7.1,3354
Katti Batti,2015,4.7,3354
Bobby Robson: More Than a Manager,2018,8.1,3351
Holiday Rush,2019,5.0,3349
The Shaukeens,2014,4.8,3332
Badland,2019,5.6,3328
All About Nina,2018,6.2,3325
"Justice, My Foot!",1992,6.8,3324
Bewildered Bolbol,2010,6.4,3323
Pyaar Ke Side Effects,2006,6.8,3321
A Plastic Ocean,2016,8.0,3317
Cut Throat City,2020,4.9,3309
Sahara,2017,5.5,3305
The Death and Life of Marsha P. Johnson,2017,7.2,3301
Hickok,2017,4.6,3300
Melvin Goes to Dinner,2003,6.7,3299
Cinema Bandi,2021,7.8,3286
Intuition,2020,5.6,3280
Perfect Bid: The Contestant Who Knew Too Much,2017,6.5,3269
Deewangee,2002,6.5,3264
Unrest,2017,7.5,3261
Carbon,2017,6.5,3261
The Loud House Movie,2021,6.0,3261
Manson Family Vacation,2015,5.8,3257
Joan Didion: The Center Will Not Hold,2017,7.5,3246
Ragini MMS 2,2014,3.9,3229
Chance Pe Dance,2010,4.8,3227
Shepherds and Butchers,2016,6.8,3219
The Bleeding Edge,2018,7.6,3215
Much Loved,2015,6.2,3215
Murder to Mercy: The Cyntoia Brown Story,2020,6.4,3212
"Sexo, Pudor y Lagrimas",1999,6.5,3207
I Am Divine,2013,7.5,3206
Dark Light,2019,4.5,3205
Time Share,2018,5.9,3197
"Ariana grande: excuse me, i love you",2020,6.4,3178
The Tribe,2018,5.8,3171
Deliha 2,2018,4.7,3171
I Am Woman,2019,6.6,3167
Burning Sands,2017,6.0,3161
Trimurti,1995,4.9,3159
Money,2016,5.5,3156
Capital in the Twenty-First Century,2019,7.3,3154
Airplane Mode,2020,5.2,3144
Bomb Scared,2017,5.7,3142
The Accountant of Auschwitz,2018,7.3,3138
Lion's Heart,2013,6.6,3137
The Hows of Us,2018,6.9,3137
Stop at Nothing: The Lance Armstrong Story,2014,7.5,3134
Close Enemies,2018,6.4,3133
Full Out,2015,6.3,3132
Lucknow Central,2017,6.2,3126
The Forest of Love,2019,6.2,3123
Fida,2004,5.5,3114
Soni,2018,7.1,3104
Clair Obscur,2016,6.4,3088
Thumper,2017,5.8,3081
Dragonheart: Battle for the Heartfire,2017,5.3,3080
Heal,2017,7.0,3077
Honeymoon Travels Pvt. Ltd.,2007,6.1,3069
The Mansion,2017,4.6,3066
Seven in Heaven,2018,5.4,3061
Coin Heist,2017,4.8,3056
Hot Sweet Sour,2017,6.0,3044
Bliss,1997,6.0,3043
Oklahoma City,2017,7.4,3037
Angry Indian Goddesses,2015,6.9,3030
Happy Old Year,2019,7.2,3023
Earth and Blood,2020,5.2,3021
Dhan Dhana Dhan Goal,2007,5.1,3012
The Tribes of Palos Verdes,2017,5.8,3008
Love in a Puff,2010,7.1,2999
The Killer,2017,6.0,2998
Namak Halaal,1982,7.2,2996
Saladin,1963,7.5,2996
The Laws of Thermodynamics,2018,6.0,2992
Walk. Ride. Rodeo.,2019,6.4,2989
Dancing with the Birds,2019,8.2,2987
Lifechanger,2018,5.4,2972
Happy Hunting,2017,5.1,2964
InuYasha the Movie: Affections Touching Across Time,2001,7.2,2964
Asphalt Burning,2020,5.2,2963
Killing Hasselhoff,2017,4.5,2963
JT LeRoy,2018,5.5,2963
One Day,2016,7.7,2957
Ragini MMS,2011,5.1,2954
Phobia 2,2009,6.6,2944
Sara's Notebook,2018,5.9,2942
Tig,2015,7.4,2935
What's Your Raashee?,2009,4.8,2926
1 Mile to You,2017,6.3,2922
Nails,2017,4.7,2920
Born in Gaza,2014,7.7,2916
Opening Night,2016,5.9,2908
Loev,2015,5.9,2900
In Search of Fellini,2017,6.2,2891
Thithi,2015,8.0,2890
Coded Bias,2020,6.8,2886
2 Alone in Paris,2008,5.4,2884
Thambi,2019,6.7,2875
Ride or Die,2021,5.6,2870
The Christmas Candle,2013,6.3,2869
The Main Event,2020,4.8,2864
Lu Over the Wall,2017,6.8,2863
Little Big Women,2020,7.2,2862
Red,2021,6.5,2859
Shanghai Fortress,2019,4.4,2854
Magnus,2016,7.1,2850
The Rachel Divide,2018,6.3,2846
Gook,2017,7.0,2841
The Zoya Factor,2019,4.4,2836
Master,2016,6.6,2831
The Student Cop,2004,6.4,2830
English Babu Desi Mem,1996,4.6,2826
Harishchandrachi Factory,2009,8.4,2824
Why Me?,2015,7.5,2815
The Twins Effect II,2004,4.8,2808
Lowriders,2016,5.7,2807
Running Shaadi,2017,6.4,2807
Kyo Kii... Main Jhuth Nahin Bolta,2001,5.5,2806
Indian Horse,2017,7.3,2789
Boomika,2021,5.0,2779
The Man Without Gravity,2019,5.8,2772
Miss India,2020,3.8,2767
Suckseed,2011,7.4,2766
One Day: Justice Delivered,2019,5.1,2765
Heartthrob,2017,5.5,2765
Inkaar,2013,6.1,2764
Roll Red Roll,2018,7.1,2762
Bewafaa,2005,4.2,2759
Pukar,2000,6.7,2756
Guest House,2020,4.4,2753
Who Would You Take to a Deserted Island?,2019,5.3,2753
Dean,2016,6.3,2744
Bir Baba Hindu,2016,2.6,2743
Laddaland,2011,6.3,2741
Audrey,2020,7.1,2738
JJ+E,2021,5.4,2733
Martial Arts of Shaolin,1986,6.4,2732
The Devil and Father Amorth,2017,4.6,2730
Hurricane Bianca: From Russia With Hate,2018,4.8,2728
My Suicide,2009,7.0,2718
Tezz,2012,4.1,2718
Dynasty Warriors,2021,4.8,2711
Menashe,2017,6.6,2697
Sun Dogs,2017,6.3,2695
Heneral Luna,2015,7.2,2693
Sword Master,2016,6.0,2693
Mitt,2014,6.8,2689
3 Deewarein,2003,7.8,2686
The Land,1970,8.0,2684
Murder by the Coast,2021,6.5,2683
Mobile Suit Gundam I,1981,7.0,2682
Vettai,2012,6.1,2679
Come Sunday,2018,6.0,2672
Ready to Mingle,2019,5.9,2662
Pegasus,2019,6.3,2657
Scandal in Sorrento,1955,6.5,2651
Juanita,2019,6.1,2649
The Hatred,2017,3.6,2648
The Resurrection of Gavin Stone,2017,6.3,2643
Pope Francis: A Man of His Word,2018,6.7,2641
Nail Bomber: Manhunt,2021,6.3,2639
Gehenna: Where Death Lives,2016,4.9,2638
Maria,2019,5.0,2634
Game,2011,5.2,2626
First Match,2018,6.4,2619
Framing John DeLorean,2019,6.5,2608
I Am Not Madame Bovary,2016,6.9,2599
Singh Saab the Great,2013,5.6,2595
Ramen Shop,2018,6.8,2594
Generation Iron 2,2017,6.1,2589
John Henry,2020,3.6,2587
Coffee with D,2017,4.4,2580
Gurgaon,2017,6.4,2580
Paradise Beach,2019,4.6,2579
Out of Thin Air,2017,6.3,2576
Radium Girls,2018,6.3,2565
Generation Iron 3,2018,5.8,2560
Cloudburst,2011,7.2,2555
K-on! the movie,2011,7.7,2554
Dukhtar,2014,6.9,2551
Reincarnated,2012,6.2,2548
Feminists: What Were They Thinking?,2018,7.1,2545
The Carter Effect,2017,7.1,2541
City of Tiny Lights,2016,5.6,2537
Wish Man,2019,7.0,2527
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,7.6,2523
Woodshock,2017,4.2,2520
Okko's Inn,2018,7.1,2519
Dharam Sankat Mein,2015,6.3,2510
God of War,2017,6.4,2502
Bobby Jasoos,2014,5.5,2492
I Got the Hook Up,1998,4.1,2491
The New Romantic,2018,5.8,2487
The Bridge Curse,2020,5.3,2487
Punjab 1984,2014,8.3,2482
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.3,2472
Sicilian Ghost Story,2017,6.5,2469
Love Jacked,2018,5.8,2466
Security,2021,5.0,2463
Romina,2018,2.3,2462
Hungerford,2014,3.8,2452
A Life of Speed: The Juan Manuel Fangio Story,2020,7.1,2450
Yucatán,2018,5.6,2449
Red Christmas,2016,4.3,2447
The Music of Silence,2017,6.6,2443
A Noble Intention,2015,6.7,2443
Cave,2016,4.2,2442
Habibie & Ainun,2012,7.6,2438
Paharganj,2019,3.8,2437
Grandmaster,2012,6.9,2432
Mobile Suit Gundam: Char's Counterattack,1988,7.2,2419
Arctic Dogs,2019,4.9,2412
The Cell,2017,6.3,2411
Vincent N Roxxy,2016,5.5,2409
Saving Zoë,2019,5.4,2403
Porto,2016,6.0,2397
You Carry Me,2015,6.8,2390
We Are Young. We Are Strong.,2014,7.0,2382
Kya Kehna,2000,5.8,2371
Count Me In,2021,6.8,2370
White Boy,2017,7.1,2368
Justin Timberlake + the Tennessee Kids,2016,7.6,2364
The Mad Monk,1993,6.2,2358
Raiders!: The Story of the Greatest Fan Film Ever Made,2015,6.9,2353
The Magic Pill,2017,7.2,2353
The 24 Hour War,2016,7.2,2346
The Workshop,2017,6.5,2345
Officer Downe,2016,4.2,2345
Thaandavam,2012,6.1,2343
Power Paandi,2017,7.4,2342
Zoo,2018,5.5,2342
Abzurdah,2015,5.4,2341
Where's the Money,2017,5.1,2336
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,2018,7.1,2327
I Am Vengeance: Retaliation,2020,3.5,2322
Sex Doll,2016,4.6,2321
Dil Hai Tumhaara,2002,5.6,2312
The Prison,2017,6.5,2310
Ankur Arora Murder Case,2013,6.5,2308
Horror Story,2013,4.3,2303
Dancing Queens,2021,5.8,2302
Dovlatov,2018,6.4,2296
The Worthy,2016,5.1,2290
Disciples Of The 36th Chamber,1985,6.3,2279
Trixie Mattel: Moving Parts,2019,7.3,2278
Shawn Mendes: In Wonder,2020,6.5,2268
Two Lovers and a Bear,2016,6.0,2267
Little Boxes,2016,5.9,2265
Cities of Last Things,2018,6.3,2262
We Need to Talk,2016,5.8,2260
Jalpari: The Desert Mermaid,2012,7.3,2257
The Blue Umbrella,2005,7.3,2256
A Perfect Man,2013,5.2,2251
Expo,2019,2.6,2244
The Most Unknown,2018,6.5,2234
Prescription Thugs,2015,6.9,2232
Jhankaar Beats,2003,7.1,2232
What Still Remains,2018,4.7,2230
Notes on Blindness,2016,7.0,2229
Bitch,2017,5.2,2228
Just Say Yes,2021,4.6,2221
Mission Blue,2014,7.9,2219
Kill Me If You Dare,2019,4.4,2218
How to Get Over a Breakup,2018,6.1,2213
BuyBust,2018,5.7,2207
The Heretics,2017,4.8,2202
Dream/Killer,2015,7.4,2199
Silicon Cowboys,2016,6.9,2192
An Imperfect Murder,2017,2.9,2190
Three,2016,5.9,2186
The Darkest Dawn,2016,4.1,2181
Hawaizaada,2015,5.5,2170
Heroes Wanted,2016,4.6,2170
Yes or No,2010,6.7,2162
The Next Skin,2016,6.1,2161
Sabrina,2018,4.2,2160
Hamara Dil Aapke Paas Hai,2000,5.5,2154
The Chosen Ones,2015,6.7,2153
Aurora,2010,6.5,2145
Deidra & Laney Rob a Train,2017,6.0,2144
Monopoly (The Bank Of Luck),2017,6.5,2142
Aiyyaa,2012,4.4,2140
What We Wanted,2020,5.9,2139
Yamla Pagla Deewana 2,2013,3.5,2139
The Island,2018,6.2,2137
Elena,2012,7.5,2136
The Three Deaths of Marisela Escobedo,2020,8.1,2134
The River Runner,2021,6.9,2127
A Dangerous Woman,1993,5.7,2126
Çarsi Pazar,2015,5.2,2123
Love Ni Bhavai,2017,8.2,2122
Last Ferry,2019,5.0,2119
Layla M.,2016,6.6,2118
China Salesman,2017,2.6,2115
Bangkok Traffic (Love) Story,2009,7.1,2114
KD (A) Karuppudurai,2019,8.4,2111
Sillu Karuppatti,2019,7.9,2109
Bobby,1973,6.9,2109
InuYasha the Movie 4: Fire on the Mystic Island,2004,7.1,2108
Hostages,2017,6.1,2100
Operator,2016,6.0,2100
Street Flow,2019,6.4,2096
Brahman Naman,2016,5.5,2091
The Last Shaman,2016,6.6,2090
The Great Magician,2011,5.9,2087
Classmates Minus,2020,7.1,2086
Mad World,2016,7.2,2081
Print the Legend,2014,7.0,2079
I'm in Love with a Church Girl,2013,4.2,2072
Don't Go Breaking My Heart,2011,6.5,2071
LA Originals,2020,7.2,2071
The Guide to the Perfect Family,2021,6.4,2066
Fearless,2020,5.0,2064
Prime Time,2021,5.2,2063
Oh Darling Yeh Hai India,1995,4.0,2056
Middle of Nowhere,2012,6.6,2050
A.M.I.,2019,3.9,2042
Retablo,2017,7.5,2040
FirstBorn,2016,4.8,2033
"To Each, Her Own",2018,5.4,2028
Consequences,2014,6.5,2022
My Step Dad: The Hippie,2018,5.2,2017
ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,2019,7.5,2016
Rajma Chawal,2018,5.7,2014
Nang Nak,1999,6.5,2014
Sangam,1964,7.3,2012
I Called Him Morgan,2016,7.3,2010
Sparkle,1976,6.7,2006
Holy Goalie,2017,5.3,2006
Social Animals,2018,5.3,2004
Khubsoorat,1980,7.6,2001
Untamed Romania,2018,8.4,1981
Outlawed,2018,3.7,1979
Puerto Ricans in Paris,2015,5.4,1977
Legendary Weapons of China,1982,6.8,1975
Deep,2021,4.9,1971
Hisss,2010,2.9,1970
Jimi Hendrix,1973,7.7,1968
The Players,2020,4.8,1967
Killa,2014,7.8,1961
Christian Mingle,2014,4.2,1956
This Is Not What I Expected,2017,6.7,1956
Wrong No.,2015,6.4,1951
Munafik 2,2018,5.6,1950
Angela's Christmas Wish,2020,7.1,1949
Barakah Meets Barakah,2016,6.2,1948
Strange Weather,2016,6.0,1946
Seoul Searching,2015,6.9,1945
Ten Years,2015,6.8,1940
Flimflam,2016,5.5,1938
My Stupid Boss,2016,7.1,1938
Yellowbird,2014,5.5,1935
Ho Mann Jahaan,2015,6.9,1934
Ajji,2017,6.8,1931
Sacro GRA,2013,6.3,1929
Taramani,2017,7.4,1927
3 Türken & ein Baby,2015,5.4,1925
Christmas in the Smokies,2015,5.9,1923
Expelled from Paradise,2014,6.6,1922
Rising Phoenix,2020,8.1,1919
Kilometers and Kilometers,2020,6.4,1918
Waiting,2015,7.1,1914
Sad Hill Unearthed,2017,7.4,1910
Running for Grace,2018,6.1,1904
Compulsion,2016,3.8,1903
Brené Brown: The Call to Courage,2019,7.7,1898
Ice Guardians,2016,7.4,1889
Enter the Anime,2019,2.6,1887
Mobile Suit Gundam II: Soldiers of Sorrow,1981,7.1,1887
Kardec,2019,6.1,1875
Chittagong,2012,7.3,1874
Desire,2017,4.0,1866
House Arrest,2019,5.5,1866
Convict,2014,5.4,1863
Shimla Mirchi,2020,4.7,1862
Reversing Roe,2018,7.5,1859
Raising the Bar,2016,5.5,1858
Eeb Allay Ooo!,2019,7.2,1857
Black Beach,2020,5.6,1857
Screwball,2018,7.2,1855
93 Days,2016,6.0,1853
Paranormal Investigation,2018,3.7,1852
The Lost Brother,2017,6.5,1849
The Reliant,2019,3.3,1847
Dum,2003,5.7,1841
Uma Maheswara Ugra Roopasya,2020,7.6,1840
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,5.1,1840
Strike a Pose,2016,7.2,1839
Miss Virginia,2019,7.2,1837
Koshish,1972,8.4,1834
A Boy Called Po,2016,6.4,1834
Dare to Be Wild,2015,6.4,1829
And Then Came Lola,2009,4.0,1825
Poster Boys,2017,5.4,1824
Traffic Signal,2007,6.6,1823
American Anarchist,2016,5.9,1822
Disco Dancer,1982,6.5,1822
Martin Lawrence Live: Runteldat,2002,5.4,1821
Mobile Suit Gundam III: Encounters in Space,1982,7.5,1819
Death House,2017,3.0,1819
Kaalia,1981,6.7,1818
Krystal,2017,5.5,1817
After Porn Ends 3,2018,5.4,1813
Krishna and His Leela,2020,5.8,1808
Roped,2020,5.5,1805
Love,2020,7.0,1798
A Patch of Fog,2015,6.5,1797
Under the Bombs,2007,7.0,1793
Lez Bomb,2018,5.2,1787
Ghost Lab,2021,5.2,1784
How to Be Really Bad,2018,6.3,1780
For Love or Money,2019,5.6,1778
Mohawk,2017,4.7,1777
Kalakalappu,2012,7.0,1775
The Short Game,2013,7.3,1774
Operações Especiais,2015,6.3,1773
APEX: The Story of the Hypercar,2016,7.3,1772
Dream Boat,2017,5.4,1771
Phantom Boy,2015,6.6,1769
Human Nature,2019,7.7,1763
2307: Winter's Dream,2016,3.7,1760
Forgive Us Our Debts,2018,6.2,1757
Ahista Ahista,2006,6.9,1752
"Hello, Love, Goodbye",2019,7.3,1748
Cinar Agaci,2011,6.2,1746
Newtown,2016,6.9,1742
The Sinking Of Van Der Wijck,2013,7.7,1735
Mission Control: The Unsung Heroes of Apollo,2017,7.5,1723
Liberated: The New Sexual Revolution,2017,6.0,1722
A Gray State,2017,6.2,1718
GLOW: The Story of the Gorgeous Ladies of Wrestling,2012,7.3,1716
The Flying Guillotine,1975,6.6,1716
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,7.8,1715
Christmas Crossfire,2020,4.8,1708
Line Walker,2016,6.0,1705
Pick of the Litter,2018,7.6,1702
Joshua: Teenager vs. Superpower,2017,7.3,1701
The Sign of Venus,1955,6.6,1701
Mama's Boy,2018,6.3,1701
The Unknown Saint,2019,6.5,1695
Malibu Rescue,2019,5.1,1693
The Women and the Murderer,2021,6.4,1693
One Day We'll Talk About Today,2020,7.3,1692
Sky Ladder: The Art of Cai Guo-Qiang,2016,7.3,1690
Budhia Singh: Born to Run,2016,7.5,1683
Into the Beat,2020,5.4,1683
Como caído del cielo,2019,6.5,1680
Je Suis Karl,2021,5.6,1678
Jailbreak,2017,5.4,1669
The Blazing Sun,1954,7.2,1668
I Am Jane Doe,2017,6.8,1668
Story of an Egg,2017,7.9,1664
I Am Vengeance,2018,4.4,1663
White Chamber,2018,4.4,1662
Namaste Wahala,2021,4.9,1662
Beneath the Leaves,2019,4.5,1661
Teen Patti,2010,4.2,1659
Vodka Diaries,2018,5.6,1658
Albion: The Enchanted Stallion,2016,5.3,1651
So Much Love to Give,2020,5.3,1645
Kath & Kimderella,2012,5.3,1644
Our Godfather,2019,6.8,1642
Caught by a Wave,2021,5.8,1638
Miles Davis: Birth of the Cool,2019,7.5,1623
All Light Will End,2018,3.8,1623
Headwinds,2011,6.4,1621
Maska,2020,5.9,1615
Rats,2016,6.5,1614
Umrika,2015,6.6,1613
Chronically Metropolitan,2016,5.0,1610
Krishna Cottage,2004,5.3,1602
Hostage to the Devil,2016,5.2,1600
Big Bear,2017,5.1,1599
Yeh Ballet,2020,7.5,1599
Grass Is Greener,2019,7.1,1596
Dilan 1991,2019,6.5,1596
The Black Godfather,2019,7.5,1592
Searching For Sheela,2021,4.3,1588
Rogue Warfare,2019,2.9,1587
Fierce,2020,5.5,1585
Shabd,2005,5.0,1582
Elstree 1976,2015,5.9,1581
Boom,2003,2.3,1581
Lionheart,2018,5.7,1580
Animas,2018,4.9,1575
Muzaffarnagar Baaqi Hai,2015,4.2,1574
Very Big Shot,2015,6.9,1571
Run,2004,5.0,1569
Insan,2005,4.6,1568
Barbie in Rock 'N Royals,2015,6.0,1564
Janaan,2016,6.8,1563
City of God: 10 Years Later,2013,6.4,1563
Pizza,2014,6.2,1556
Paris Is Us,2019,4.6,1547
Treasures from the Wreck of the Unbelievable,2017,6.0,1545
Bon Bini Holland,2015,5.5,1543
What We Started,2017,7.0,1543
You've Got This,2020,5.9,1540
The Sunshine Makers,2015,7.0,1538
Confessions of an Invisible Girl,2021,5.3,1535
Gabriel and the Mountain,2017,7.0,1526
Born Strong,2017,7.1,1520
Bartkowiak,2021,5.1,1519
One Night Stand,2016,3.2,1519
Seeing Allred,2018,7.3,1496
Barsaat,1995,5.6,1493
Malaal,2019,5.9,1492
Speech & Debate,2017,5.9,1491
A Remarkable Tale,2019,5.4,1490
Kaali Khuhi,2020,3.7,1488
Milada,2017,6.3,1482
Cézanne et moi,2016,6.1,1481
26 Years,2012,6.2,1481
Welcome 2 Karachi,2015,4.3,1479
DJ Cinderella,2019,4.7,1478
Bangistan,2015,4.5,1477
The App,2019,2.8,1477
Back to School,2019,5.3,1475
Zoot Suit,1981,6.7,1471
Karzzzz,2008,2.3,1468
Night of Knots,2018,5.3,1468
The Little Switzerland,2019,4.9,1467
I'll Sleep When I'm Dead,2016,6.6,1465
Postcards from London,2018,5.3,1464
DNA,2020,5.9,1462
Santa Girl,2019,5.0,1461
Hayat Öpücügü,2015,5.9,1456
Hamid,2018,7.7,1455
John & Jane,2005,7.6,1453
Journey to Greenland,2016,6.3,1446
Euphoria,2018,6.5,1440
Every Time I Die,2019,5.2,1438
Nasha,2013,3.2,1436
C Kkompany,2008,5.5,1436
Whose Streets?,2017,6.0,1434
Jail,2009,6.2,1434
Devil's Bride,2016,6.0,1433
Scarecrow,2019,4.8,1432
She's Dating the Gangster,2014,7.0,1431
Maniyarayile Ashokan,2020,4.7,1429
Mugamoodi,2012,5.2,1428
The Charnel House,2016,4.3,1423
Manhattan Romance,2014,5.6,1422
The Competition,2018,4.5,1421
High Society,2018,5.6,1419
Tini: The New Life of Violetta,2016,5.3,1416
Helios,2015,5.5,1416
Wolves,2016,5.7,1403
Justice,2017,4.1,1398
Lembi 8 Giga,2010,5.1,1398
Ghulam-E-Musthafa,1997,6.7,1397
An Egyptian Story,1982,7.3,1396
The Devil We Know,2018,7.8,1395
Seriously Single,2020,4.6,1386
Desolation,2017,4.5,1385
Heaven Without People,2017,7.4,1385
Barah Aana,2009,6.7,1382
Wish You,2021,6.4,1381
Aashayein,2010,7.1,1379
"Thelonious Monk: Straight, No Chaser",1988,7.5,1378
Elliot the Littlest Reindeer,2018,5.0,1374
Buffalo Boys,2018,5.7,1365
From A to B,2014,5.8,1363
Women of Mafia 2,2019,3.8,1357
Dreamy Eyes,2019,6.9,1354
Thriller,2018,3.6,1350
Ani... Dr. Kashinath Ghanekar,2018,8.3,1349
Deadcon,2019,2.8,1347
"Faith, Hope & Love",2019,6.4,1343
Verses of Love,2008,6.9,1341
Tokyo Idols,2017,6.9,1339
Memories of a Teenager,2019,6.6,1338
Brother,2019,6.7,1337
Mercury 13,2018,7.0,1336
Hypersomnia,2016,4.8,1332
Birdshot,2016,6.6,1326
Ramji Londonwaley,2005,6.6,1325
How to Change the World,2015,7.5,1323
The Stand at Paxton County,2020,6.4,1323
Silencer,2018,3.8,1320
God Bless the Broken Road,2018,5.8,1314
Bill Nye: Science Guy,2017,6.8,1309
The Car: Road to Revenge,2019,4.0,1308
Break,2018,5.8,1300
Clive Davis: The Soundtrack of Our Lives,2017,7.5,1294
Love O2O,2016,6.4,1294
The Tenth Man,2016,5.8,1291
A Murder in the Park,2014,7.3,1290
For the Love of Benji,1977,5.9,1286
Once Again,2018,6.9,1279
My Entire High School Sinking Into the Sea,2016,6.1,1276
Blood Brothers: Malcolm X & Muhammad Ali,2021,6.9,1276
A 2nd Chance,2011,4.7,1275
SGT. Will Gardner,2019,5.9,1269
Stunt School,2019,4.4,1266
Haunting on Fraternity Row,2018,3.8,1264
Bathtubs Over Broadway,2018,7.6,1263
Fuga,2006,6.3,1261
F.R.E.D.I.,2018,5.1,1261
Ghadi,2013,7.3,1260
Transformer,2017,7.0,1256
Naan Sigappu Manithan,2014,6.5,1253
Christmas Survival,2018,5.2,1251
Internet Famous,2016,3.5,1249
Really Love,2020,6.2,1249
Blood Money,2012,4.8,1248
Mallesham,2019,8.2,1245
Saturday Church,2017,6.4,1245
Playing Hard,2018,6.5,1245
Eddie - Strongman,2015,7.4,1242
Viking Destiny,2018,4.4,1242
Komola Rocket,2018,7.3,1242
Gone are the Days,2018,5.2,1241
Dad Wanted,2020,5.8,1241
Ram Teri Ganga Maili,1985,6.5,1240
Cake,2018,7.6,1239
Been So Long,2018,5.5,1235
Jefe,2018,5.5,1234
Driven to Dance,2018,4.6,1233
Larceny,2017,3.5,1231
The Most Assassinated Woman in the World,2018,5.3,1230
Goldie,2019,5.7,1226
Dry Martina,2018,5.8,1221
Anchor and Hope,2017,6.3,1213
Jessica Darling's It List,2016,5.4,1211
Hotel Pacific,1975,7.2,1210
Suzzanna: Buried Alive,2018,5.5,1210
The Spy Who Fell to Earth,2019,6.6,1206
Aapla Manus,2018,6.9,1201
Anwar,2007,6.5,1199
Jack of all Trades,2018,5.9,1197
Arctic Heart,2016,5.2,1195
The Light of My Eyes,2010,5.8,1194
Liar's Dice,2013,6.7,1193
The Emigrant,1994,6.5,1188
Love and Shukla,2017,7.2,1182
Kaleidoscope,2016,5.9,1180
Indiscretion,2016,4.8,1180
Material,2012,7.1,1180
Hera Pheri,1976,6.6,1180
Boushkash,2008,5.4,1178
A Beautiful Life,2011,6.6,1176
Can't Help Falling in Love,2017,6.8,1176
John Leguizamo's Latin History for Morons,2018,7.4,1176
Summer Night,2019,4.8,1175
Garbage,2018,3.7,1170
River's Edge,2018,6.2,1169
Department,2012,3.2,1167
Love for Sale,2018,7.4,1166
The Tiger Hunter,2016,6.0,1165
Benchwarmers 2: Breaking Balls,2019,4.1,1165
Barça Dreams,2015,7.3,1164
Funan,2018,6.9,1163
The Secret Diary of an Exchange Student,2021,5.4,1163
Manje Bistre,2017,6.6,1162
Bypass Road,2019,5.3,1159
Alt-Right: Age of Rage,2018,6.3,1159
Four Sisters and a Wedding,2013,7.3,1158
Manu,2018,7.5,1157
Buddies,2012,6.5,1156
Curtiz,2018,6.0,1156
Love Off the Cuff,2017,6.5,1151
The Brave,2019,5.1,1150
Chris Brown: Welcome to My Life,2017,5.6,1149
Gie,2005,7.6,1145
Under the Eiffel Tower,2018,5.4,1142
Pedal the World,2015,5.0,1139
A Chaster Marriage,2016,5.4,1134
Deuces,2016,5.8,1134
Bigger Fatter Liar,2017,4.0,1129
Wrong Side Raju,2016,7.7,1128
Night Comes On,2018,6.7,1128
300 Miles to Heaven,1989,7.1,1125
Haunters: The Art of the Scare,2017,6.5,1124
The Other,1999,6.0,1124
Jai Mummy Di,2020,3.8,1121
Malibu Rescue: The Next Wave,2020,4.9,1116
Magnetic,2018,6.6,1115
The Black Prince,2017,5.7,1114
The Royal Bengal Tiger,2014,6.8,1109
Walk with Me,2017,6.4,1106
Lingua Franca,2019,6.6,1097
The President's Barber,2004,6.9,1094
The Gospel of John,2014,7.8,1093
League of Legends Origins,2019,6.5,1093
Nibunan,2017,6.5,1092
Carnaval,2021,4.1,1091
Goyo: The Boy General,2018,6.5,1086
Gumrah,1993,6.1,1085
The Last Days of Chez Nous,1992,6.5,1085
Santana,2020,3.9,1083
Citation,2020,6.2,1082
The House of Flowers: The Movie,2021,5.5,1082
The Witch Files,2018,4.5,1082
Father Soldier Son,2020,7.3,1081
Notes for My Son,2020,6.5,1081
Cemara's Family,2018,7.7,1080
The Bros,2017,6.1,1079
Ascharyachakit!,2018,4.9,1079
Bennett's War,2019,6.1,1078
Black Site Delta,2017,3.9,1075
Sky Tour: The Movie,2020,6.0,1070
Wheels of Fortune,2020,5.5,1066
Uncertain Glory,2017,6.2,1065
Despido Procedente,2017,5.0,1062
Hostage House,2021,3.9,1061
23:59,2011,4.6,1061
10 jours en or,2012,6.0,1061
The Bare-Footed Kid,1993,6.4,1059
The Mars Generation,2017,6.5,1057
The Doll,2016,5.1,1056
Kucch To Hai,2003,4.4,1055
Breaking the Bank,2014,4.8,1052
My Horrible Grandma,2012,5.3,1049
1st Summoning,2018,3.5,1047
Ankahi Kahaniya,2021,5.6,1044
Secrets in the Hot Spring,2018,6.1,1042
Crazy Beautiful You,2015,6.9,1040
God Knows Where I Am,2016,7.2,1039
Bibi & Tina,2014,4.9,1036
Ordinary People,2016,7.3,1035
Rudy Habibie,2016,7.5,1033
Mandi,1983,7.5,1033
Grand-Daddy Day Care,2019,5.0,1032
The Beginning of Life,2016,7.4,1030
Samantaral,2017,7.6,1024
Legend of the Naga Pearls,2017,5.5,1023
Mortified Nation,2013,7.3,1020
Neevevaro,2018,6.8,1020
Mosquita y Mari,2012,6.3,1018
Funny Boy,2020,6.5,1017
Counterpunch,2017,6.7,1008
People You May Know,2016,5.6,1008
Uriyadi 2,2019,7.0,1007
This Earth of Mankind,2019,6.9,1007
