title,year,imdb_score,imdb_votes
Take Me Home Tonight,2011,6.3,57046
The First Wives Club,1996,6.5,57015
Andaz Apna Apna,1994,8.0,56954
Icarus,2017,7.9,56857
The Babysitter: Killer Queen,2020,5.8,56609
The Laundromat,2019,6.3,56548
Code 8,2019,6.1,56525
Da 5 Bloods,2020,6.5,56516
The Ridiculous 6,2015,4.9,56477
28 Days,2000,6.1,56476
Mudbound,2017,7.4,56342
The Love Guru,2008,3.8,56210
Can't Hardly Wait,1998,6.5,56117
The Guernsey Literary and Potato Peel Pie Society,2018,7.3,56082
When We First Met,2018,6.4,55906
Forbidden Planet,1956,7.5,55819
Death at a Funeral,2010,5.7,55802
Cat on a Hot Tin Roof,1958,7.9,55630
Forgotten,2017,7.4,55577
White Christmas,1954,7.5,55291
Stowaway,2021,5.7,54964
Soul Surfer,2011,7.0,54772
The Natural,1984,7.4,54600
The Do-Over,2016,5.7,54571
Before I Wake,2016,6.2,54497
Gunpowder Milkshake,2021,6.1,54296
The Silence,2019,5.4,54073
The Endless,2017,6.5,53992
Secret in Their Eyes,2015,6.3,53891
The Witcher: Nightmare of the Wolf,2021,7.2,53778
True Grit,1969,7.4,53689
Kill the Irishman,2011,7.0,53636
